id,age,email,salary
1,44,user1@company.io,54986.0
2,50,user2@domain.com,60671.0
3,39,user3@domain.com,83931.0
4,25,bademail,55943.0
5,38,user5@service.net,55461.0
6,52,user6@company.io,46300.0
7,36,user7@example.com,79568.0
8,43,user8@company.io,55896.0
9,28,user9@service.net,83541.0
10,22,,92622.0
11,25,user11@company.io,80194.0
12,37,user12@company.io,73875.0
13,29,user13@domain.com,
14,44,user14@mail.org,69466.0
15,200,user15@example.com,44000.0
16,46,user16@example.com,-100.0
17,50,user17@domain.com,57381.0
18,29,user18@service.net,85516.0
19,56,user19@domain.com,38647.0
20,35,user20@mail.org,56371.0
21,35,user21@mail.org,-1.0
22,30,user22@company.io,-1.0
23,130,user23@example.com,75745.0
24,53,user24@domain.com,78326.0
25,130,user25@mail.org,72931.0
26,63,user26@service.net,-100.0
27,28,user27@domain.com,86670.0
28,43,user28@domain.com,33701.0
29,33,user29@mail.org,59498.0
30,46,user30@mail.org,27408.0
31,46,user31@company.io,-1.0
32,41,user32@service.net,58917.0
33,41,user33@mail.org,26614.0
34,33,user34@company.io,41406.0
35,130,user35@service.net,81653.0
36,32,user36@service.net,71018.0
37,30,bademail,58819.0
38,19,user38@company.io,45662.0
39,56,user39@domain.com,54685.0
40,48,user40@service.net,53936.0
41,33,user41@company.io,64874.0
42,42,user42@domain.com,62590.0
43,31,user43@example.com,27513.0
44,40,bademail,77725.0
45,39,user45@domain.com,33724.0
46,0,user46@mail.org,68791.0
47,46,user47@company.io,89498.0
48,57,user48@company.io,90713.0
49,42,user49@domain.com,77297.0
50,27,none@invalid,65612.0
51,44,user51@company.io,43613.0
52,25,user52@domain.com,62899.0
53,31,user53@mail.org,69961.0
54,27,user54@service.net,59318.0
55,29,user55@service.net,102608.0
56,30,user56@example.com,-100.0
57,34,,30179.0
58,35,user58@service.net,52914.0
59,48,user59@domain.com,64829.0
60,24,user60@domain.com,91458.0
61,49,user61@domain.com,63435.0
62,32,user62@mail.org,-1.0
63,32,user63@service.net,55296.0
64,45,user64@domain.com,61421.0
65,42,user65@domain.com,-1.0
66,33,user66@mail.org,90412.0
67,45,user67@mail.org,66628.0
68,22,user68@mail.org,78858.0
69,-5,user69@service.net,13614.0
70,27,user70@company.io,63952.0
71,28,user71@domain.com,62768.0
72,39,user72@service.net,71867.0
73,-5,user73@company.io,86409.0
74,53,user74@mail.org,82796.0
75,36,user75@company.io,19528.0
76,41,user76@mail.org,-100.0
77,27,user77@domain.com,38305.0
78,41,user78@service.net,56044.0
79,12,user79@example.com,
80,130,user80@mail.org,51663.0
81,37,user81@company.io,-1.0
82,45,user82@example.com,70554.0
83,19,user83@company.io,-100.0
84,34,user84@domain.com,56628.0
85,44,user85@domain.com,68075.0
86,46,user86@mail.org,75104.0
87,32,,95293.0
88,13,,51779.0
89,15,user89@example.com,71133.0
90,29,user90@service.net,59180.0
91,130,user91@company.io,80829.0
92,12,user92@service.net,58333.0
93,50,user93@example.com,49891.0
94,52,user94@service.net,67147.0
95,32,user95@mail.org,
96,54,user96@service.net,65885.0
97,37,user97@mail.org,-1.0
98,38,user98@mail.org,17420.0
99,33,none@invalid,42271.0
